Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict (inside 50-loop),7125,0,61,80.41248191873572,47.70307099988713,12462.37333199997,54.943017543859646,120.24538166125004,0.0,61,70,79,84,96,110,120,130,7800,12000,12000
POST,/predict/batch (50 rows),139,0,65,73.12972754675194,52.880675999858795,158.51640899973063,1036.086330935252,2.345839726444036,0.0,65,77,85,89,100,110,140,140,160,160,160
COMPARE,"1 batch of 50, total",139,0,65,73.1801171654683,52.91027699968254,158.59071100021538,0.0,2.345839726444036,0.0,65,77,85,89,100,110,140,140,160,160,160
COMPARE,"50 singles, total",139,0,3400,4041.067755474833,2771.144707000076,16014.995716000158,0.0,2.345839726444036,0.0,3400,3600,3600,3700,3800,11000,16000,16000,16000,16000,16000
,Aggregated,7542,0,61,153.14033679355575,47.70307099988713,16014.995716000158,71.00039777247414,127.28290084058214,0.0,61,71,80,86,99,110,260,3400,12000,16000,16000
