Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict (inside 50-loop),1020,0,55,55.905095153924975,51.62223100023766,245.34180999989985,54.96078431372549,17.215800328123887,0.0,55,56,57,57,59,61,65,68,77,250,250
POST,/predict/batch (50 rows),20,0,57,57.17909234997478,53.80710100007491,61.478956999962975,1037.05,0.33756471231615465,0.0,57,58,59,59,61,61,61,61,61,61,61
COMPARE,"1 batch of 50, total",20,0,57,57.23755010001241,53.870394000114175,61.52360399983081,0.0,0.33756471231615465,0.0,57,58,59,59,61,62,62,62,62,62,62
COMPARE,"50 singles, total",20,0,2800,2796.996824899997,2718.708624000101,2980.285552999703,0.0,0.33756471231615465,0.0,2800,2800,2800,2900,2900,3000,3000,3000,3000,3000,3000
,Aggregated,1080,0,55,106.71432074444716,51.62223100023766,2980.285552999703,71.11203703703704,18.22849446507235,0.0,55,56,57,57,59,62,77,2800,2900,3000,3000
