Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict (inside 50-loop),3678,0,77,77.68997524877844,51.038290999713354,342.6313360000677,54.9505165851006,62.07942314171372,0.0,77,79,81,82,86,91,98,110,200,340,340
POST,/predict/batch (50 rows),70,0,76,73.37951892858266,52.823523999904864,99.07009900007324,1036.442857142857,1.1815007123219032,0.0,76,80,82,83,86,93,97,99,99,99,99
COMPARE,"1 batch of 50, total",70,0,76,73.42804777147519,52.86529700015308,99.14277799998672,0.0,1.1815007123219032,0.0,76,80,82,83,86,93,97,99,99,99,99
COMPARE,"50 singles, total",70,0,3900,3885.817979242854,3627.3501539999415,4525.485859000128,0.0,1.1815007123219032,0.0,3900,3900,3900,4000,4000,4400,4500,4500,4500,4500,4500
,Aggregated,3888,0,77,146.0976124436757,51.038290999713354,4525.485859000128,70.64274691358025,65.62392527867944,0.0,77,79,81,82,87,94,150,3800,4400,4500,4500
