Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790091262,1,,Aggregated,18.500000,0.000000,55,56,57,58,61,64,250,2800,3000,3000,3000,544,0,55,107.31259944852951,51.62223100023766,2980.285552999703,70.95772058823529
1790091263,1,,Aggregated,18.500000,0.000000,55,56,57,58,60,64,76,2800,3000,3000,3000,563,0,55,105.51844918295068,51.62223100023766,2980.285552999703,70.42806394316163
1790091264,1,,Aggregated,18.600000,0.000000,55,56,57,58,60,64,250,2800,3000,3000,3000,583,0,55,108.42306927444575,51.62223100023766,2980.285552999703,71.40137221269296
1790091265,1,,Aggregated,18.600000,0.000000,55,56,57,58,60,64,250,2800,3000,3000,3000,600,0,55,106.90954740000423,51.62223100023766,2980.285552999703,70.94333333333333
1790091266,1,,Aggregated,18.400000,0.000000,55,56,57,58,60,64,76,2800,3000,3000,3000,618,0,55,105.41510668446963,51.62223100023766,2980.285552999703,70.47411003236246
1790091267,1,,Aggregated,18.600000,0.000000,55,56,57,58,60,64,250,2800,3000,3000,3000,637,0,55,108.19846763579582,51.62223100023766,2980.285552999703,71.3767660910518
1790091268,1,,Aggregated,18.600000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,655,0,55,106.75145596030869,51.62223100023766,2980.285552999703,70.92977099236641
1790091269,1,,Aggregated,18.400000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,673,0,55,105.3905021233347,51.62223100023766,2980.285552999703,70.49777117384843
1790091270,1,,Aggregated,18.500000,0.000000,55,56,57,58,60,63,250,2800,3000,3000,3000,692,0,55,107.96782152746235,51.62223100023766,2980.285552999703,71.32803468208093
1790091271,1,,Aggregated,18.300000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,710,0,55,106.64268344648397,51.62223100023766,2980.285552999703,70.91408450704225
1790091272,1,,Aggregated,18.500000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,727,0,55,105.48385337689527,51.62223100023766,2980.285552999703,70.53645116918844
1790091273,1,,Aggregated,18.400000,0.000000,55,56,57,58,60,63,250,2800,3000,3000,3000,745,0,55,108.08297135168166,51.62223100023766,2980.285552999703,71.33020134228188
1790091274,1,,Aggregated,18.200000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,763,0,55,106.86525863565406,51.62223100023766,2980.285552999703,70.94495412844037
1790091275,1,,Aggregated,18.100000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,781,0,55,105.6886915224112,51.62223100023766,2980.285552999703,70.57618437900128
1790091276,1,,Aggregated,18.200000,0.000000,55,56,57,58,60,63,250,2800,3000,3000,3000,800,0,55,107.90724728750361,51.62223100023766,2980.285552999703,71.2975
1790091277,1,,Aggregated,18.000000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,819,0,55,106.673384086695,51.62223100023766,2980.285552999703,70.92307692307692
1790091278,1,,Aggregated,18.100000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,837,0,55,105.53934346475951,51.62223100023766,2980.285552999703,70.58183990442055
1790091279,1,,Aggregated,18.300000,0.000000,55,56,57,58,60,63,76,2800,3000,3000,3000,857,0,55,107.45317998950193,51.62223100023766,2980.285552999703,71.23920653442241
1790091280,1,,Aggregated,18.200000,0.000000,55,56,57,58,59,62,76,2800,3000,3000,3000,876,0,55,106.30718305023346,51.62223100023766,2980.285552999703,70.89041095890411
1790091281,1,,Aggregated,18.400000,0.000000,55,56,57,58,59,62,76,2800,3000,3000,3000,894,0,55,105.2699885883712,51.62223100023766,2980.285552999703,70.57270693512304
1790091282,1,,Aggregated,18.300000,0.000000,55,56,57,58,59,62,76,2800,3000,3000,3000,913,0,55,107.15087914458181,51.62223100023766,2980.285552999703,71.20481927710843
1790091283,1,,Aggregated,18.400000,0.000000,55,56,57,58,59,62,77,2800,3000,3000,3000,930,0,55,106.22576355591798,51.62223100023766,2980.285552999703,70.90860215053763
1790091284,1,,Aggregated,18.500000,0.000000,55,56,57,58,59,62,77,2800,3000,3000,3000,949,0,55,105.18963321075138,51.62223100023766,2980.285552999703,70.59114857744994
1790091285,1,,Aggregated,18.400000,0.000000,55,56,57,58,59,62,77,2800,3000,3000,3000,969,0,55,106.9745057368455,51.62223100023766,2980.285552999703,71.16511867905056
1790091286,1,,Aggregated,18.600000,0.000000,55,56,57,58,59,62,77,2800,3000,3000,3000,987,0,55,106.02221245694324,51.62223100023766,2980.285552999703,70.87234042553192
1790091287,1,,Aggregated,18.700000,0.000000,55,56,57,58,59,62,77,2800,2900,3000,3000,1007,0,55,107.74746312016246,51.62223100023766,2980.285552999703,71.42303872889772
1790091288,1,,Aggregated,18.700000,0.000000,55,56,57,58,59,62,77,2800,2900,3000,3000,1024,0,55,106.87978426269828,51.62223100023766,2980.285552999703,71.1513671875
1790091289,1,,Aggregated,18.500000,0.000000,55,56,57,57,59,62,77,2800,2900,3000,3000,1042,0,55,105.97712604318977,51.62223100023766,2980.285552999703,70.8675623800384
1790091290,1,,Aggregated,18.700000,0.000000,55,56,57,57,59,62,77,2800,2900,3000,3000,1062,0,55,107.56995499529495,51.62223100023766,2980.285552999703,71.38606403013182
1790091291,1,,Aggregated,18.500000,0.000000,55,56,57,57,59,62,77,2800,2900,3000,3000,1080,0,55,106.71432074444716,51.62223100023766,2980.285552999703,71.11203703703704
